ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240306,다사25755750,0,다사25505600,2,20,20,2,3,416,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,126.6601048,37.61507691,126.6574249,37.60153793
20240320,다사49753025,2,다사49502900,0,8,9,1,7,413,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,126.9338857,37.37108846,126.9311474,37.35980813
20240314,다사67755475,2,다사67255350,0,8,8,1,7,409,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.1361044,37.59271784,127.1304965,37.58143357
20240319,다사51505075,2,다사52505175,1,8,9,1,1,406,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,126.9523033,37.55595427,126.9635601,37.56501943
20240304,다사43256750,0,다사42256650,2,23,23,1,3,404,31,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8576044,37.70645012,126.8463395,37.697375
20240306,다사42002275,0,다사43502175,1,12,14,1,1,402,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,126.8469472,37.30303717,126.8639479,37.29411593
20240302,다사62001700,0,다사60751650,0,18,18,1,7,400,55,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0729099,37.25223819,127.0588411,37.24767962
20240327,다사65252875,0,다사66252975,1,12,12,1,7,390,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,127.1090091,37.35827632,127.1202556,37.36732678
20240302,다사35504475,0,다사34504500,0,18,19,1,7,390,532,0,0,0,2.57,2.77,0,0,2.49,0,0,0,0,0,0,0,0,0,3.5,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,126.7716906,37.50089769,126.7603557,37.50308062
20240303,다사26504350,0,다사25504225,0,14,15,1,7,384,163,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6700026,37.48896017,126.6588183,37.47761426
20240331,다사27003525,0,다사25753475,2,2,2,1,3,380,56,0,0,7,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,126.6764736,37.41464412,126.6623995,37.41003846
